Date,B1,B2,B3,B4,B5,P1
"Wednesday, January 3, 2024",30,31,38,48,68,8
"Monday, January 1, 2024",12,21,42,44,49,1
"Saturday, December 30, 2023",10,11,26,27,34,7
"Wednesday, December 27, 2023",4,11,38,51,68,5
"Monday, December 25, 2023",5,12,20,24,29,4
"Saturday, December 23, 2023",9,14,17,18,53,6
"Wednesday, December 20, 2023",27,35,41,56,60,16
"Monday, December 18, 2023",5,8,19,34,39,26
"Saturday, December 16, 2023",3,9,10,20,62,25
"Wednesday, December 13, 2023",3,8,41,56,64,18
"Monday, December 11, 2023",1,24,27,31,62,20
"Saturday, December 9, 2023",5,25,26,40,60,1
"Wednesday, December 6, 2023",2,12,37,56,65,21
"Monday, December 4, 2023",18,19,27,28,45,9
"Saturday, December 2, 2023",28,35,41,47,60,3
"Wednesday, November 29, 2023",6,47,50,61,68,4
"Monday, November 27, 2023",2,21,38,61,66,12
"Saturday, November 25, 2023",27,33,63,66,68,9
"Wednesday, November 22, 2023",20,24,33,39,42,21
"Monday, November 20, 2023",19,26,30,39,63,13
"Saturday, November 18, 2023",34,50,51,61,67,20
"Wednesday, November 15, 2023",3,4,51,53,60,6
"Monday, November 13, 2023",24,33,35,37,42,21
"Saturday, November 11, 2023",1,12,14,24,57,7
"Wednesday, November 8, 2023",14,21,33,39,62,20
"Monday, November 6, 2023",12,25,40,59,61,26
"Saturday, November 4, 2023",1,28,30,34,52,6
"Wednesday, November 1, 2023",22,26,39,47,63,12
"Monday, October 30, 2023",19,22,34,66,69,5
"Saturday, October 28, 2023",14,24,50,59,64,2
"Wednesday, October 25, 2023",25,27,41,53,68,2
"Monday, October 23, 2023",18,21,25,46,64,21
"Saturday, October 21, 2023",6,15,24,67,68,11
"Wednesday, October 18, 2023",1,4,13,35,58,24
"Monday, October 16, 2023",2,27,31,44,64,18
"Saturday, October 14, 2023",14,16,42,48,64,14
"Wednesday, October 11, 2023",22,24,40,52,64,10
"Monday, October 9, 2023",16,34,46,55,67,14
"Saturday, October 7, 2023",47,54,57,60,65,19
"Wednesday, October 4, 2023",9,35,54,63,64,1
"Monday, October 2, 2023",12,26,27,43,47,5
"Saturday, September 30, 2023",19,30,37,44,46,22
"Wednesday, September 27, 2023",1,7,46,47,63,7
"Monday, September 25, 2023",10,12,22,36,50,4
"Saturday, September 23, 2023",1,12,20,33,66,21
"Wednesday, September 20, 2023",16,27,59,62,63,23
"Monday, September 18, 2023",2,21,26,40,42,9
"Saturday, September 16, 2023",8,11,19,24,46,5
"Wednesday, September 13, 2023",22,30,37,44,45,18
"Monday, September 11, 2023",9,25,27,53,66,5
"Saturday, September 9, 2023",11,19,29,63,68,25
"Wednesday, September 6, 2023",9,14,20,23,63,1
"Monday, September 4, 2023",1,26,32,46,51,13
"Saturday, September 2, 2023",25,38,42,66,67,19
"Wednesday, August 30, 2023",4,13,35,61,69,4
"Monday, August 28, 2023",4,6,25,55,68,26
"Saturday, August 26, 2023",20,22,26,28,63,5
"Wednesday, August 23, 2023",25,30,32,33,55,20
"Monday, August 21, 2023",3,4,12,22,28,16
"Saturday, August 19, 2023",1,25,27,38,62,13
"Wednesday, August 16, 2023",9,11,17,19,55,1
"Monday, August 14, 2023",32,34,37,39,47,3
"Saturday, August 12, 2023",19,21,37,50,65,26
"Wednesday, August 9, 2023",10,15,21,67,69,3
"Monday, August 7, 2023",6,13,20,35,54,22
"Saturday, August 5, 2023",18,42,44,62,65,23
"Wednesday, August 2, 2023",23,24,33,51,64,5
"Monday, July 31, 2023",2,11,48,58,65,13
"Saturday, July 29, 2023",10,25,27,34,38,2
"Wednesday, July 26, 2023",3,16,40,48,60,14
"Monday, July 24, 2023",3,4,12,28,49,25
"Saturday, July 22, 2023",25,27,36,37,63,7
"Wednesday, July 19, 2023",7,10,11,13,24,24
"Monday, July 17, 2023",5,8,9,17,41,21
"Saturday, July 15, 2023",2,9,43,55,57,18
"Wednesday, July 12, 2023",23,35,45,66,67,20
"Monday, July 10, 2023",2,24,34,53,58,13
"Saturday, July 8, 2023",7,23,24,32,43,18
"Wednesday, July 5, 2023",17,24,48,62,68,23
"Monday, July 3, 2023",15,26,31,38,61,3
"Saturday, July 1, 2023",4,17,35,49,61,8
"Wednesday, June 28, 2023",19,25,34,57,68,4
"Monday, June 26, 2023",6,28,39,43,54,12
"Saturday, June 24, 2023",2,38,44,50,62,19
"Wednesday, June 21, 2023",5,11,33,35,63,14
"Monday, June 19, 2023",36,39,52,57,69,1
"Saturday, June 17, 2023",2,12,45,61,64,26
"Wednesday, June 14, 2023",3,20,36,42,64,4
"Monday, June 12, 2023",2,3,16,23,68,7
"Saturday, June 10, 2023",21,32,42,46,50,4
"Wednesday, June 7, 2023",16,21,29,53,66,2
"Monday, June 5, 2023",2,31,45,46,49,20
"Saturday, June 3, 2023",15,45,64,67,68,18
"Wednesday, May 31, 2023",2,4,54,61,62,14
"Monday, May 29, 2023",21,33,35,62,64,24
"Saturday, May 27, 2023",24,38,39,48,56,4
"Wednesday, May 24, 2023",12,21,44,50,58,26
"Monday, May 22, 2023",9,38,48,52,68,25
"Saturday, May 20, 2023",17,23,32,38,63,23
"Wednesday, May 17, 2023",18,34,37,45,51,14
"Monday, May 15, 2023",1,26,28,55,58,25
"Saturday, May 13, 2023",3,15,20,23,46,11
"Wednesday, May 10, 2023",21,24,33,55,69,3
"Monday, May 8, 2023",15,20,33,36,43,12
"Saturday, May 6, 2023",31,39,47,51,53,6
"Wednesday, May 3, 2023",21,26,30,45,47,23
"Monday, May 1, 2023",3,38,55,61,66,1
"Saturday, April 29, 2023",16,53,54,57,65,8
"Wednesday, April 26, 2023",2,15,30,35,49,6
"Monday, April 24, 2023",19,21,55,66,68,3
"Saturday, April 22, 2023",17,36,47,63,68,25
"Wednesday, April 19, 2023",4,11,21,38,64,11
"Monday, April 17, 2023",23,25,35,63,64,25
"Saturday, April 15, 2023",1,33,34,56,59,18
"Wednesday, April 12, 2023",9,36,41,44,59,4
"Monday, April 10, 2023",9,10,36,46,52,14
"Saturday, April 8, 2023",11,22,24,51,60,18
"Wednesday, April 5, 2023",3,5,9,42,52,11
"Monday, April 3, 2023",16,30,31,54,68,1
"Saturday, April 1, 2023",11,19,21,29,52,17
"Wednesday, March 29, 2023",4,9,24,46,66,7
"Monday, March 27, 2023",19,26,36,43,58,14
"Saturday, March 25, 2023",15,17,18,47,57,19
"Wednesday, March 22, 2023",27,28,37,50,57,5
"Monday, March 20, 2023",1,27,32,47,67,14
"Saturday, March 18, 2023",14,20,30,54,69,11
"Wednesday, March 15, 2023",16,18,33,37,50,8
"Monday, March 13, 2023",3,10,24,46,63,4
"Saturday, March 11, 2023",11,20,33,43,58,24
"Wednesday, March 8, 2023",26,27,43,61,69,4
"Monday, March 6, 2023",2,13,29,58,69,4
"Saturday, March 4, 2023",10,16,18,40,66,16
"Wednesday, March 1, 2023",2,9,28,36,53,4
"Monday, February 27, 2023",16,28,49,51,55,23
"Saturday, February 25, 2023",11,24,58,66,67,26
"Wednesday, February 22, 2023",11,19,39,44,65,7
"Monday, February 20, 2023",3,17,26,38,54,15
"Saturday, February 18, 2023",8,21,31,32,37,23
"Wednesday, February 15, 2023",31,32,54,60,63,12
"Monday, February 13, 2023",17,26,37,61,65,2
"Saturday, February 11, 2023",10,23,30,54,65,11
"Wednesday, February 8, 2023",52,58,59,64,66,9
